SK_ID_CURR,ERROR_RECONSTRUCCION,TARGET,ANOMALIA,AMT_INCOME_TOTAL,AMT_CREDIT,RATIO_CREDITO_INGRESO,EDAD,AÑOS_EMPLEADO,TOTAL_INCONSISTENCIAS,SOBREENDEUDAMIENTO,TIENE_CIRCULO_RIESGOSO,SCORE_ESTABILIDAD
114967,67.41519980682489,1,1,117000000.0,562491.0,0.004807615384615385,34.56164383561644,2.526027397260274,1,0,0,2
336147,9.436690675891523,0,1,18000090.0,675000.0,0.03749981250093749,43.02465753424657,13.591780821917808,0,0,0,4
385674,8.766566249686452,0,1,13500000.0,1400503.5,0.103741,37.12602739726027,0.7671232876712328,1,0,0,3
190160,5.921466710946203,0,1,9000000.0,1431531.0,0.159059,45.0,23.221917808219178,1,0,0,2
252084,4.144864789035231,0,1,6750000.0,790830.0,0.11716,52.989041095890414,1.2136986301369863,0,0,0,3
102015,3.8956889782291846,0,1,1935000.0,269550.0,0.13930232558139535,51.057534246575344,-1000.6657534246575,1,0,0,3
219563,3.588690252065163,0,1,4500000.0,2250000.0,0.5,29.528767123287672,1.0356164383561643,1,0,0,4
337151,3.3763961005775376,0,1,4500000.0,450000.0,0.1,50.57808219178082,23.21095890410959,0,0,0,2
317748,2.8905384288310514,0,1,4500000.0,835380.0,0.18564,51.273972602739725,9.126027397260273,1,0,0,2
432980,2.788966981989222,0,1,4500000.0,1755000.0,0.39,51.463013698630135,9.912328767123288,1,0,0,4
